DATA_REQUEST_ID	CONCEPT_PATH	ENCODING_REQD	PARAMETERS	IS_VALID
43	\BIRN\oasis\Images\Averaged Images\Sagittal\	SN	123	null
43	\BIRN\oasis\Images\Atlas Registered\Coronal\	LN	123	null
38	\BIRN\oasis\Demographics\Education\Less than high school grad.\	null	null	null
38	\BIRN\oasis\Demographics\Socioeconomic Status\Status 1\	null	null	null
38	\BIRN\oasis\Clinical Measures\Clinical Dementia Rating (CDR)\moderate dementia\	null	null	null
38	\BIRN\oasis\Clinical Measures\Clinical Dementia Rating (CDR)\nondemented\	null	null	null
38	\BIRN\oasis\Demographics\Socioeconomic Status\Status 5\	null	null	null
38	\BIRN\oasis\Derived Anatomic Volumes\Estimated Total Intracranial Volume\	null	null	null
38	\BIRN\oasis\Clinical Measures\MMSE score\No Alzheimers disease\30\	null	null	null
38	\BIRN\oasis\Demographics\Education\High school grad.\	null	null	null
38	\BIRN\oasis\Clinical Measures\MMSE score\Moderate Alzheimers disease\13\	null	null	null
36	\BIRN\oasis\Images\Raw Images\First Sample\	null	123	null
36	\BIRN\oasis\Images\Raw Images\Fourth Sample\	null	123	null
41	\BIRN\oasis\Images\Averaged Images\Sagittal\	SN	123	null
41	\BIRN\oasis\Images\Atlas Registered\Coronal\	LN	123	null
40	\BIRN\oasis\Images\Averaged Images\Sagittal\	LN	null	null
40	\BIRN\oasis\Images\Atlas Registered\Coronal\	SN	null	null
45	\BIRN\oasis\Demographics\Socioeconomic Status\Status 1\	null	null	null
45	\BIRN\oasis\Derived Anatomic Volumes\Atlas scaling factor\	null	null	null
47	\BIRN\oasis\Derived Anatomic Volumes\Atlas scaling factor\	null	null	null
47	\BIRN\oasis\Derived Anatomic Volumes\Estimated Total Intracranial Volume\	null	null	null
47	\BIRN\oasis\Demographics\Socioeconomic Status\Status 1\	null	null	null
55	\BIRN\oasis\Images\Averaged Images\Sagittal\	null		null
49	\BIRN\oasis\Derived Anatomic Volumes\Atlas scaling factor\	null	null	null
49	\BIRN\oasis\Demographics\Hand Orientation\Right Handed\	null	null	null
50	\BIRN\oasis\Demographics\Hand Orientation\Right Handed\	null	null	null
50	\BIRN\oasis\Clinical Measures\MMSE score\Mild Alzheimers disease\20\	null	null	null
50	\BIRN\oasis\Derived Anatomic Volumes\Atlas scaling factor\	null	null	null
51	\BIRN\oasis\Demographics\Education\Beyond college\	null	Age:50	null
