 Pharmacy:13121849,\Pharmacy\13121849\,chlorpheniramine/ephedrine/guaifenesin,1/1/2010,1/1/2010,1/1/2010,Pharmacy,1,UN
 Pharmacy:13121854,\Pharmacy\13121854\,ethinyl estradiol-ethynodiol,1/1/2010,1/1/2010,1/1/2010,Pharmacy,2,UN
 Pharmacy:13121866,\Pharmacy\13121866\,estradiol-testosterone,1/1/2010,1/1/2010,1/1/2010,Pharmacy,3,UN
 Pharmacy:13121876,\Pharmacy\13121876\,chlorpheniramine/guaifenesin/phenylephri,1/1/2010,1/1/2010,1/1/2010,Pharmacy,4,UN
 Pharmacy:13121882,\Pharmacy\13121882\,codeine-guaifenesin,1/1/2010,1/1/2010,1/1/2010,Pharmacy,5,UN
 Pharmacy:13121926,\Pharmacy\13121926\,guaifenesin-hydrocodone,1/1/2010,1/1/2010,1/1/2010,Pharmacy,6,UN
 Pharmacy:13121965,\Pharmacy\13121965\,codeine/guaifenesin/PSE,1/1/2010,1/1/2010,1/1/2010,Pharmacy,7,UN
 Pharmacy:13122029,\Pharmacy\13122029\,chlorpheniramine/codeine/PE/K iodide,1/1/2010,1/1/2010,1/1/2010,Pharmacy,8,UN
 Pharmacy:13122036,\Pharmacy\13122036\,dextromethorphan-guaifenesin,1/1/2010,1/1/2010,1/1/2010,Pharmacy,9,UN
 Pharmacy:13122185,\Pharmacy\13122185\,guaifenesin/hydrocodone/phenylephrine,1/1/2010,1/1/2010,1/1/2010,Pharmacy,10,UN
 Pharmacy:13122202,\Pharmacy\13122202\,guaifenesin/hydrocodone/pseudoephedrine,1/1/2010,1/1/2010,1/1/2010,Pharmacy,11,UN
 Pharmacy:13122241,\Pharmacy\13122241\,dextromethorphan/guaifenesin/phenylephri,1/1/2010,1/1/2010,1/1/2010,Pharmacy,12,UN
 Pharmacy:13122271,\Pharmacy\13122271\,dextromethorphan/guaifenesin/pseudoephed,1/1/2010,1/1/2010,1/1/2010,Pharmacy,13,UN
 Pharmacy:13122339,\Pharmacy\13122339\,chlorpheniramine/hydrocodone/PSE,1/1/2010,1/1/2010,1/1/2010,Pharmacy,14,UN
 Pharmacy:13122363,\Pharmacy\13122363\,chlorpheniramine/DM/guaifenesin/phenylep,1/1/2010,1/1/2010,1/1/2010,Pharmacy,15,UN
 Pharmacy:13122368,\Pharmacy\13122368\,ammonium chloride/CPM/DM/ephedrine/ipeca,1/1/2010,1/1/2010,1/1/2010,Pharmacy,16,UN
 Pharmacy:13122373,\Pharmacy\13122373\,acetaminophen-codeine,1/1/2010,1/1/2010,1/1/2010,Pharmacy,17,UN
 Pharmacy:13122395,\Pharmacy\13122395\,aspirin-codeine,1/1/2010,1/1/2010,1/1/2010,Pharmacy,18,UN
 Pharmacy:13122399,\Pharmacy\13122399\,APAP/butalbital/caffeine/codeine,1/1/2010,1/1/2010,1/1/2010,Pharmacy,19,UN
 Pharmacy:13122406,\Pharmacy\13122406\,ASA/butalbital/caffeine/codeine,1/1/2010,1/1/2010,1/1/2010,Pharmacy,20,UN
 Pharmacy:13122413,\Pharmacy\13122413\,acetaminophen-hydrocodone,1/1/2010,1/1/2010,1/1/2010,Pharmacy,21,UN
 Pharmacy:13122483,\Pharmacy\13122483\,aspirin-hydrocodone,1/1/2010,1/1/2010,1/1/2010,Pharmacy,22,UN
 Pharmacy:13122488,\Pharmacy\13122488\,ASA/caffeine/dihydrocodeine,1/1/2010,1/1/2010,1/1/2010,Pharmacy,23,UN
 Pharmacy:13122493,\Pharmacy\13122493\,acetaminophen-oxycodone,1/1/2010,1/1/2010,1/1/2010,Pharmacy,24,UN
 Pharmacy:13122528,\Pharmacy\13122528\,aspirin-oxycodone,1/1/2010,1/1/2010,1/1/2010,Pharmacy,25,UN
 Pharmacy:13122537,\Pharmacy\13122537\,meperidine-promethazine,1/1/2010,1/1/2010,1/1/2010,Pharmacy,26,UN
 Pharmacy:13122542,\Pharmacy\13122542\,acetaminophen-propoxyphene,1/1/2010,1/1/2010,1/1/2010,Pharmacy,27,UN
 Pharmacy:13122559,\Pharmacy\13122559\,ASA/caffeine/propoxyphene,1/1/2010,1/1/2010,1/1/2010,Pharmacy,28,UN
 Pharmacy:13122571,\Pharmacy\13122571\,belladonna-opium,1/1/2010,1/1/2010,1/1/2010,Pharmacy,29,UN
 Pharmacy:13122579,\Pharmacy\13122579\,APAP/ASA/caffeine/salicylamide,1/1/2010,1/1/2010,1/1/2010,Pharmacy,30,UN
